StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q6,Q15,Q5,Q8,Q9,Q9_4_TEXT,Q10,Q11_1,Part1,Part2,Part3,Part4,PID
2026-06-01 21:45:44,2026-06-01 21:53:33,Adresse IP,75.104.65.244,100,469,Vrai,2026-06-01 21:53:34,R_6p0hujyU9NtDhut,,,,,37.751,-97.822,anonymous,EN,JPAG 06/01/2026,No,Yes,20,Male,,Less than once per year,9,85,26,39,22,
2026-06-02 10:10:56,2026-06-02 10:14:23,Adresse IP,18.29.65.36,100,206,Vrai,2026-06-02 10:14:23,R_50JFDKjpQusjkyX,,,,,42.3649,-71.0987,anonymous,EN,MD,No,Yes,29,Female,,A few times per year,6,19,85,82,35,
2026-06-02 12:02:39,2026-06-02 12:06:00,Adresse IP,93.67.88.164,100,201,Vrai,2026-06-02 12:06:01,R_8Rn010n91Qa7CRd,,,,,41.8905,12.5127,anonymous,EN,Mi 02/06/2026,No,Yes,25,Female,,Less than once per year,7,37,50,53,24,
2026-06-02 12:55:50,2026-06-02 12:56:59,Adresse IP,18.29.10.201,100,68,Vrai,2026-06-02 12:56:59,R_5exgp2Ebi2ysty8,,,,,42.3649,-71.0987,anonymous,EN,AG 06/02/2026,Yes,Yes,,,,,,53,13,52,97,
2026-05-26 17:42:37,2026-05-26 17:43:04,Adresse IP,192.54.222.157,80,27,Faux,2026-06-02 17:43:06,R_6j6W64wP302hia2,,,,,42.3649,-71.0987,anonymous,EN,sn,No,Yes,18,Female,,Never,1,64,87,14,10,
2026-05-27 14:33:39,2026-05-27 14:34:45,Adresse IP,18.27.119.202,80,66,Faux,2026-06-03 14:34:48,R_3dmCvMiRkAWXx94,,,,,42.3649,-71.0987,anonymous,EN,kjnlk,No,Yes,18,Male,,Never,2,64,68,92,36,
2026-05-28 16:14:29,2026-05-28 16:16:39,Adresse IP,73.149.68.130,80,130,Faux,2026-06-04 16:16:49,R_6ffgvbzRzuNyCRA,,,,,42.5437,-71.6495,anonymous,EN,"RRR  May 28, 2026",No,Yes,80,Male,,Never,6,95,36,91,88,
2026-06-04 16:28:12,2026-06-04 16:33:57,Adresse IP,81.65.145.137,100,345,Vrai,2026-06-04 16:33:58,R_8ZWjWgLlmCYTIqN,,,,,48.8875,2.1604,anonymous,EN,KT 2026 06 05,No,Yes,55,Female,,Never,10,76,93,51,82,
2026-05-31 22:01:43,2026-05-31 22:13:52,Adresse IP,18.29.118.93,80,728,Faux,2026-06-07 22:13:58,R_78NH2f7al7MDKOe,,,,,42.3649,-71.0987,anonymous,EN,VGDLH 5/31,No,Yes,19,Male,,Less than once per year,8,26,96,41,21,
2026-06-02 11:53:23,2026-06-02 11:57:01,Adresse IP,194.230.144.142,80,218,Faux,2026-06-09 11:57:04,R_2GIwFmlc5DS6Ppk,,,,,47.3992,8.3956,anonymous,EN,4/06/2026,No,Yes,24,Male,,A few times per year,3,60,34,33,62,
2026-06-02 12:57:06,2026-06-02 12:57:46,Adresse IP,18.29.10.201,80,40,Faux,2026-06-09 12:57:47,R_6sbGU4o4o8pHlkX,,,,,42.3649,-71.0987,anonymous,EN,AG 06/02/2026,No,Yes,23,Male,,Less than once per year,8,82,67,93,98,
2026-06-02 15:57:27,2026-06-02 15:58:02,Adresse IP,18.29.32.178,80,35,Faux,2026-06-09 15:58:06,R_5Kjs1dU5JkevlqF,,,,,42.3649,-71.0987,anonymous,EN,JC 6/2/26,No,Yes,21,Male,,Less than once per year,5,66,39,13,32,
2026-06-04 16:46:35,2026-06-04 16:47:31,Adresse IP,18.27.119.172,80,55,Faux,2026-06-11 16:47:37,R_7Nj8utAWDMFbKwx,,,,,42.3649,-71.0987,anonymous,EN,"JP June 4, 2026",No,Yes,28,Female,,A few times per year,8,30,77,72,47,
2026-06-08 03:23:30,2026-06-08 03:27:32,Adresse IP,92.92.126.147,80,242,Faux,2026-06-15 03:27:33,R_2bdy803bE6fT1iV,,,,,48.8558,2.3494,anonymous,EN,A-N 06/16/2003,No,Yes,22,Male,,A few times per year,2,45,23,10,71,
2026-06-16 14:57:36,2026-06-16 15:10:19,Adresse IP,172.225.68.232,100,763,Vrai,2026-06-16 15:10:20,R_2Ibk9cZStLWH3AP,,,,,59.3287,18.0717,anonymous,EN,DS 2026-06-16,No,Yes,48,Male,,Several times per week,6,73,13,19,92,
2026-06-09 16:04:32,2026-06-09 16:05:18,Adresse IP,18.29.89.170,40,46,Faux,2026-06-16 16:05:22,R_65cDWvIAV2M3mq5,,,,,42.3649,-71.0987,anonymous,EN,"MK , 09. Jun 2026",No,Yes,,,,,,24,26,94,72,
2026-06-17 16:33:15,2026-06-17 16:36:49,Adresse IP,99.244.216.96,100,214,Vrai,2026-06-17 16:36:49,R_6xf8wa7jxs1kiYh,,,,,43.5903,-79.7598,anonymous,EN,JMS 6-17-2026,No,Yes,30,Male,,A few times per year,4,64,35,69,88,
2026-06-23 10:44:47,2026-06-23 10:47:36,Adresse IP,206.74.190.238,100,168,Vrai,2026-06-23 10:47:36,R_1VyXgo97kjW1iU1,,,,,33.5546,-81.721,anonymous,EN,Mm 06/23/2026,No,Yes,43,Male,,Monthly,6,50,55,41,88,
2026-06-23 10:44:23,2026-06-23 10:52:15,Adresse IP,172.59.122.125,100,471,Vrai,2026-06-23 10:52:15,R_1ySGnohpsqv2kpj,,,,,35.3352,-97.4789,anonymous,EN,Rf 6/23/26,No,Yes,46,Male,,A few times per year,8,38,57,85,78,
2026-06-23 10:52:57,2026-06-23 10:57:53,Adresse IP,97.128.253.88,100,295,Vrai,2026-06-23 10:57:53,R_79EpMNb3yFQyz85,,,,,40.752,-80.3192,anonymous,EN,Cp 6/23/26,No,Yes,46,Male,,Never,6,46,41,69,11,
2026-06-23 10:55:46,2026-06-23 10:58:33,Adresse IP,155.69.180.252,100,166,Vrai,2026-06-23 10:58:34,R_9TwhuvnqP1F70aJ,,,,,1.3154,103.6498,anonymous,EN,CNS 06/23/2026,No,Yes,19,Male,,Never,9,80,31,77,78,
2026-06-23 11:00:56,2026-06-23 11:03:48,Adresse IP,172.56.114.45,100,172,Vrai,2026-06-23 11:03:49,R_1pXsMjjzqef8jZx,,,,,42.0774,-71.0446,anonymous,EN,CPA 6/23/2026,No,Yes,48,Male,,A few times per year,6,92,88,41,65,
2026-06-23 11:03:30,2026-06-23 11:06:38,Adresse IP,71.200.154.19,100,188,Vrai,2026-06-23 11:06:39,R_7xEpsFzqhOBYPlQ,,,,,38.9034,-76.9882,anonymous,EN,"JB, 06/23/26",No,Yes,29,Male,,Monthly,4,70,74,35,88,
2026-06-23 11:06:28,2026-06-23 11:08:37,Adresse IP,204.89.58.16,100,129,Vrai,2026-06-23 11:08:38,R_5BaJm2Mqp2d4UQb,,,,,42.3649,-71.0987,anonymous,EN,JT,No,Yes,30,Female,,Monthly,6,97,70,46,99,
2026-06-23 11:07:33,2026-06-23 11:09:32,Adresse IP,73.154.138.228,100,118,Vrai,2026-06-23 11:09:32,R_7ux9lkIwX95jqo1,,,,,40.3052,-79.5418,anonymous,EN,Kristen 06/23/2026,No,Yes,49,Female,,Several times per week,7,69,41,11,62,
2026-06-23 11:08:28,2026-06-23 11:12:07,Adresse IP,172.226.200.147,100,218,Vrai,2026-06-23 11:12:07,R_1diG3Ksz7SWez8w,,,,,40.6817,-73.8395,anonymous,EN,GI - 06/23/26,No,Yes,32,Female,,Monthly,7,10,42,81,53,
2026-06-23 11:26:01,2026-06-23 11:29:42,Adresse IP,184.179.171.153,100,221,Vrai,2026-06-23 11:29:43,R_1Lp312h4v3bV7YL,,,,,32.2506,-110.884,anonymous,EN,LS,No,Yes,42,Female,,Weekly,5,52,76,98,99,
2026-06-23 11:37:34,2026-06-23 11:42:45,Adresse IP,174.208.43.33,100,310,Vrai,2026-06-23 11:42:45,R_3KDZSYcRFPxskNP,,,,,43.2123,-77.43,anonymous,EN,sk 06/23/2026,No,Yes,56,Male,,A few times per year,5,38,24,74,59,
2026-06-23 11:46:44,2026-06-23 11:48:17,Adresse IP,73.177.28.109,100,93,Vrai,2026-06-23 11:48:18,R_1ya2tZLzWgO7YFa,,,,,35.2213,-89.9413,anonymous,EN,TMS 06/23/2026,No,Yes,48,Female,,Daily (including multiple times per night),6,65,28,49,81,
2026-06-23 11:38:03,2026-06-23 11:53:32,Adresse IP,174.205.224.156,100,928,Vrai,2026-06-23 11:53:33,R_1u2mABPbNX4anbX,,,,,33.5613,-112.1442,anonymous,EN,EC 6/23/26,Yes,Yes,,,,,,24,32,92,64,
2026-06-23 11:52:03,2026-06-23 11:58:40,Adresse IP,18.29.46.154,100,397,Vrai,2026-06-23 11:58:41,R_77jSfRLeSnMLo2U,,,,,42.3649,-71.0987,anonymous,EN,MM 6/23/2026,No,Yes,19,Female,,Never,8,71,60,31,79,
2026-06-23 11:50:01,2026-06-23 12:01:23,Adresse IP,98.11.236.85,100,681,Vrai,2026-06-23 12:01:23,R_7VD99qNo8LJme91,,,,,42.5959,-73.6849,anonymous,EN,DCP 06/23/26,No,Yes,73,Male,,Several times per week,8,37,17,70,88,
2026-06-23 12:13:05,2026-06-23 12:14:24,Adresse IP,69.113.233.25,100,79,Vrai,2026-06-23 12:14:25,R_14x7gW2x4UhSsNm,,,,,41.0641,-73.548,anonymous,EN,AN 6/23/26,No,Yes,59,Female,,Less than once per year,4,23,56,18,61,
2026-06-23 12:07:35,2026-06-23 12:16:42,Adresse IP,174.224.51.60,100,547,Vrai,2026-06-23 12:16:43,R_516OZUiMyaUtXnU,,,,,42.3313,-83.4656,anonymous,EN,S,No,Yes,43,Female,,A few times per year,6,72,66,30,89,
2026-06-23 12:15:18,2026-06-23 12:18:34,Adresse IP,108.147.196.72,100,196,Vrai,2026-06-23 12:18:35,R_3avfjhmkYpoKPAt,,,,,33.754,-117.8578,anonymous,EN,Haw 6/23/26,No,Yes,33,Female,,Monthly,9,17,39,40,90,
2026-06-23 12:16:50,2026-06-23 12:19:39,Adresse IP,170.223.3.184,100,169,Vrai,2026-06-23 12:19:40,R_7Eh6AgktGGIF8G2,,,,,42.3634,-71.0713,anonymous,EN,MS 6/23/26,No,Yes,25,Female,,Never,7,29,13,39,91,
2026-06-23 12:19:59,2026-06-23 12:22:41,Adresse IP,107.119.65.19,100,162,Vrai,2026-06-23 12:22:42,R_3B3ytKEVUTyOynY,,,,,40.7126,-74.0066,anonymous,EN,mt 6/23/2026,No,Yes,56,Female,,A few times per year,5,55,32,98,60,
2026-06-23 12:43:27,2026-06-23 12:44:27,Adresse IP,76.135.195.159,100,60,Vrai,2026-06-23 12:44:28,R_7cCn8KOD9xvYsWE,,,,,48.9366,-122.4576,anonymous,EN,KG,No,Yes,26,Female,,Less than once per year,5,60,34,14,39,
2026-06-23 13:10:05,2026-06-23 13:12:14,Adresse IP,174.182.82.103,100,128,Vrai,2026-06-23 13:12:14,R_5wNxwaiJYEdBwgn,,,,,39.7924,-86.2875,anonymous,EN,kt 6-23-26,Yes,Yes,,,,,,12,24,27,77,
2026-06-23 13:12:33,2026-06-23 13:18:00,Adresse IP,173.187.15.106,100,327,Vrai,2026-06-23 13:18:01,R_1Qxh3xkT2JZcMSb,,,,,29.8378,-82.6129,anonymous,EN,PMc. 6/23/2026,No,Yes,59,Female,,Less than once per year,4,26,59,26,10,
2026-06-23 13:15:01,2026-06-23 13:19:00,Adresse IP,72.22.198.55,100,238,Vrai,2026-06-23 13:19:00,R_1n8U6Ch5o9hm3nw,,,,,29.77,-94.8608,anonymous,EN,cml,No,Yes,52,Male,,A few times per year,8,49,97,37,65,
2026-06-23 13:16:31,2026-06-23 13:24:08,Adresse IP,200.79.153.110,100,457,Vrai,2026-06-23 13:24:09,R_1HnxhKgeBHyaLiF,,,,,32.5114,-117.0115,anonymous,EN,LER - 06/23/2026,No,Yes,32,Female,,A few times per year,8,78,11,96,47,
2026-06-23 12:53:52,2026-06-23 13:39:51,Adresse IP,76.190.6.42,100,2759,Vrai,2026-06-23 13:39:52,R_58HNJu7xIcP1FAd,,,,,39.7168,-84.1575,anonymous,EN,Kr,No,Yes,31,Female,,Monthly,7,44,79,91,60,
2026-06-23 13:50:20,2026-06-23 13:53:01,Adresse IP,68.152.217.35,100,161,Vrai,2026-06-23 13:53:02,R_5n1uKgA1lyiZWcn,,,,,40.8205,-73.9183,anonymous,EN,SA 6/23/26,No,Yes,28,Female,,A few times per year,8,83,35,86,11,
2026-06-23 12:54:41,2026-06-23 14:09:48,Adresse IP,172.56.197.71,100,4507,Vrai,2026-06-23 14:09:50,R_3ikurE7EkvK142d,,,,,42.415,-71.0527,anonymous,EN,BRN,No,Yes,44,Male,,Less than once per year,7,90,23,73,62,
2026-06-23 14:11:08,2026-06-23 14:18:42,Adresse IP,208.185.131.29,100,454,Vrai,2026-06-23 14:18:43,R_7gJyVE6BRYGjKeJ,,,,,36.5334,-85.85,anonymous,EN,RB 6/23/2026,No,Yes,44,Female,,A few times per year,8,59,33,11,74,
2026-06-23 14:30:20,2026-06-23 14:35:33,Adresse IP,104.249.98.20,100,312,Vrai,2026-06-23 14:35:33,R_7tijaCTcAAxKRDw,,,,,33.6647,-117.9663,anonymous,EN,mr 6/23/26,No,Yes,53,Female,,Monthly,7,59,61,48,87,
2026-06-23 14:45:58,2026-06-23 14:51:41,Adresse IP,74.90.140.220,100,342,Vrai,2026-06-23 14:51:41,R_3kFwvYLpbXy4FLb,,,,,41.2656,-74.3604,anonymous,EN,RM 6/23/2026,No,Yes,24,Female,,Never,7,30,39,45,85,
2026-06-23 14:58:38,2026-06-23 15:01:00,Adresse IP,73.146.111.42,100,142,Vrai,2026-06-23 15:01:01,R_1OWhrXVKCNBHxbg,,,,,39.903,-86.0636,anonymous,EN,Kjl,No,Yes,63,Female,,Several times per week,5,23,39,80,32,
2026-06-23 15:56:18,2026-06-23 16:01:08,Adresse IP,98.97.118.98,100,290,Vrai,2026-06-23 16:01:09,R_6Jl2k1NpD9hQtzj,,,,,33.4532,-112.0748,anonymous,EN,MGM 6/24/2026,No,Yes,70,Female,,Less than once per year,7,53,62,96,90,
2026-06-23 16:43:50,2026-06-23 16:47:20,Adresse IP,107.122.93.144,100,210,Vrai,2026-06-23 16:47:21,R_5qXtYZh7RG1GeER,,,,,41.8483,-87.6517,anonymous,EN,Dvc 6-23-2026,No,Yes,74,Female,,A few times per year,5,98,99,94,26,
2026-06-23 16:46:51,2026-06-23 16:48:59,Adresse IP,63.247.178.226,100,128,Vrai,2026-06-23 16:49:00,R_7B3rFSpYIik2mCP,,,,,40.7365,-74.0055,anonymous,EN,EK 06/23/2026,No,Yes,31,Female,,A few times per year,5,37,35,72,81,
2026-06-23 17:41:12,2026-06-23 17:43:31,Adresse IP,174.204.68.142,100,138,Vrai,2026-06-23 17:43:31,R_7D5bbsSIMh79tVz,,,,,47.6109,-122.3303,anonymous,EN,Jcc,No,Yes,58,Female,,A few times per year,7,20,29,91,93,
2026-06-23 17:15:55,2026-06-23 18:20:17,Adresse IP,73.216.55.201,100,3862,Vrai,2026-06-23 18:20:18,R_5Qtt9CiFGP5AgTb,,,,,38.4555,-77.4326,anonymous,EN,AC 6/23/26,No,Yes,23,Female,,Never,6,39,54,25,21,
2026-06-23 18:21:35,2026-06-23 18:23:54,Adresse IP,68.162.211.183,100,138,Vrai,2026-06-23 18:23:54,R_5dafrpVMBetvgHg,,,,,42.1815,-71.3011,anonymous,EN,RP 6/23/26,Yes,Yes,,,,,,64,90,82,86,
2026-06-23 18:24:03,2026-06-23 18:25:08,Adresse IP,68.162.211.183,100,64,Vrai,2026-06-23 18:25:08,R_3dnyNtSrtqoLOno,,,,,42.1815,-71.3011,anonymous,EN,RP 6/23/26,No,Yes,22,Female,,Never,8,57,40,58,28,
2026-06-23 18:27:19,2026-06-23 18:35:16,Adresse IP,148.75.164.213,100,477,Vrai,2026-06-23 18:35:17,R_6oBw48dBYBCHkcI,,,,,41.217,-73.0552,anonymous,EN,"Mk ",No,Yes,60,Male,,Never,8,80,85,54,92,
2026-06-23 18:40:02,2026-06-23 18:43:48,Adresse IP,73.111.19.51,100,225,Vrai,2026-06-23 18:43:48,R_3Hh8DgPJbK9gum9,,,,,41.6538,-86.1631,anonymous,EN,SKY,No,Yes,24,Male,,Several times per week,7,76,61,91,99,
2026-06-23 18:52:21,2026-06-23 18:56:19,Adresse IP,174.202.67.138,100,237,Vrai,2026-06-23 18:56:19,R_1fPsHYV4tnxKrD3,,,,,39.7932,-86.2132,anonymous,EN,SAH 6/23/2026,No,Yes,33,Male,,A few times per year,7,62,62,40,52,
2026-06-23 19:34:00,2026-06-23 19:35:22,Adresse IP,76.103.86.180,100,81,Vrai,2026-06-23 19:35:22,R_7PtqMZZ7nSj9s0p,,,,,37.8084,-122.2846,anonymous,EN,KY June 23 2026,No,Yes,24,Female,,Never,5,27,50,62,39,
2026-06-23 20:07:57,2026-06-23 20:13:51,Adresse IP,173.76.33.242,100,354,Vrai,2026-06-23 20:13:52,R_7jQytQczvOUp9E5,,,,,42.2441,-71.1688,anonymous,EN,D. 6/23/2026,No,Yes,41,Female,,A few times per year,8,33,28,51,96,
2026-06-23 20:33:41,2026-06-23 20:38:36,Adresse IP,165.1.200.190,100,295,Vrai,2026-06-23 20:38:37,R_5FkwptjVTKnsKbs,,,,,39.0469,-77.4903,anonymous,EN,JP 6/23/2026,Yes,Yes,,,,,,96,46,21,93,
2026-06-23 21:16:12,2026-06-23 21:17:01,Adresse IP,73.145.240.96,100,48,Vrai,2026-06-23 21:17:01,R_58MKAmzRTdpM1re,,,,,42.3965,-83.2499,anonymous,EN,DP,Yes,Yes,,,,,,89,37,57,17,
2026-06-23 21:14:07,2026-06-23 21:17:18,Adresse IP,174.101.26.21,100,191,Vrai,2026-06-23 21:17:19,R_6w4skBMONWT3HHz,,,,,40.3626,-83.7565,anonymous,EN,L,No,Yes,41,Female,,A few times per year,8,36,76,93,45,
2026-06-23 21:16:00,2026-06-23 21:17:55,Adresse IP,66.188.207.138,100,115,Vrai,2026-06-23 21:17:56,R_3pYu9obLFry3Zcp,,,,,44.0484,-92.4948,anonymous,EN,Lcs,No,Yes,31,Female,,Never,7,90,88,44,75,
2026-06-23 21:17:23,2026-06-23 21:19:00,Adresse IP,174.101.26.21,100,97,Vrai,2026-06-23 21:19:00,R_11sQNsafktenBw1,,,,,40.3626,-83.7565,anonymous,EN,L,No,Yes,41,Female,,A few times per year,8,48,88,98,55,
2026-06-23 21:18:18,2026-06-23 21:20:56,Adresse IP,107.2.91.83,100,157,Vrai,2026-06-23 21:20:56,R_1rovL8gdNataXCj,,,,,45.1184,-93.3461,anonymous,EN,RH 6/23/2026,No,Yes,34,Female,,Less than once per year,3,47,58,47,39,
2026-06-23 21:17:07,2026-06-23 21:21:09,Adresse IP,73.145.240.96,100,241,Vrai,2026-06-23 21:21:09,R_6FKsHP00jvpDYMW,,,,,42.3965,-83.2499,anonymous,EN,DP 06/24/2026,No,Yes,41,Female,,Less than once per year,8,95,19,41,12,
2026-06-23 21:20:09,2026-06-23 21:21:45,Adresse IP,208.64.173.108,100,95,Vrai,2026-06-23 21:21:45,R_6CZiLbqoeJB57Y3,,,,,39.5992,-86.13,anonymous,EN,KS 23/06/2027,Yes,Yes,,,,,,75,40,12,74,
2026-06-23 21:16:52,2026-06-23 21:23:54,Adresse IP,23.87.146.78,100,421,Vrai,2026-06-23 21:23:54,R_6wN32rhXGZ0lGKr,,,,,42.9253,-89.2125,anonymous,EN,TSM 6/23/26,No,Yes,37,Male,,Less than once per year,7,60,38,35,90,
2026-06-23 21:22:19,2026-06-23 21:24:09,Adresse IP,68.129.39.137,100,110,Vrai,2026-06-23 21:24:09,R_51FbsGGAJOb3MGz,,,,,40.8703,-73.8525,anonymous,EN,"HM JUNE 23, 2026",No,Yes,52,Female,,A few times per year,4,57,51,13,25,
2026-06-23 21:23:04,2026-06-23 21:28:05,Adresse IP,75.247.149.136,100,301,Vrai,2026-06-23 21:28:06,R_76hSuOxJyHxfU65,,,,,45.0027,-93.4881,anonymous,EN,MW 06/23/2026,No,Yes,34,Female,,Less than once per year,4,78,51,46,25,
2026-06-23 21:29:24,2026-06-23 21:30:05,Adresse IP,172.56.186.0,100,40,Vrai,2026-06-23 21:30:05,R_3mF2x7XUnrIVVxX,,,,,34.2271,-118.4501,anonymous,EN,Cj 6/23/26,Yes,Yes,,,,,,61,49,76,39,
2026-06-23 21:16:47,2026-06-23 21:31:39,Adresse IP,172.220.50.225,100,892,Vrai,2026-06-23 21:31:39,R_1FsuLIRTmBR708T,,,,,44.0015,-92.4836,anonymous,EN,CVL 06/23/2026,No,Yes,47,Female,,Several times per week,7,55,11,50,10,
2026-06-23 21:27:31,2026-06-23 21:31:45,Adresse IP,172.100.164.60,100,253,Vrai,2026-06-23 21:31:45,R_5M0MDvYUOOliAsV,,,,,42.1506,-76.0551,anonymous,EN,RR 6-23-2026,No,Yes,22,Male,,A few times per year,7,20,65,74,80,
2026-06-23 21:30:59,2026-06-23 21:31:57,Adresse IP,45.41.104.210,100,58,Vrai,2026-06-23 21:31:58,R_4ar6PTyVo4WD7uW,,,,,16.7964,96.1667,anonymous,EN,"HM, June 23, 2026",Yes,Yes,,,,,,51,83,15,74,
